buffer_full_stalls,expected_makespan,m,ok,ramp_bw,returncode,route,scheme,sim_makespan,stderr_tail,stdout_tail,total_expected,total_received
0,82,1,True,1,255,B_tree,hybrid_v_bi_B2,80,,"ter 46 using link 204 at outport 4 lat 4
router 46
	 connected to router 40 using link 205 at outport 1 lat 6
	 connected to router 45 using link 206 at outport 2 lat 4
	 connected to router 46 using link 207 at outport 3 lat 1
	 connected to router 47 using link 208 at outport 4 lat 4
router 47
	 connected to router 41 using link 209 at outport 1 lat 6
	 connected to router 46 using link 210 at outport 2 lat 4
	 connected to router 47 using link 211 at outport 3 lat 1
========================== Routing table  =====================
=== Trace Allgather Simulation ===
trace_mode: tree
expected_makespan: 82
sim_makespan: 80
total_received: 2256 / 2256
buffer_full_stalls: 0
Draining remaining packets ...
Time taken is 322 cycles
====== Overall Traffic Statistics ======
Total run time 0.018631
",2256,2256
0,264,2,True,1,255,B_tree,hybrid_v_bi_B2,261,,"er 46 using link 204 at outport 4 lat 4
router 46
	 connected to router 40 using link 205 at outport 1 lat 6
	 connected to router 45 using link 206 at outport 2 lat 4
	 connected to router 46 using link 207 at outport 3 lat 1
	 connected to router 47 using link 208 at outport 4 lat 4
router 47
	 connected to router 41 using link 209 at outport 1 lat 6
	 connected to router 46 using link 210 at outport 2 lat 4
	 connected to router 47 using link 211 at outport 3 lat 1
========================== Routing table  =====================
=== Trace Allgather Simulation ===
trace_mode: tree
expected_makespan: 264
sim_makespan: 261
total_received: 4512 / 4512
buffer_full_stalls: 0
Draining remaining packets ...
Time taken is 800 cycles
====== Overall Traffic Statistics ======
Total run time 0.04129
",4512,4512
0,346,3,True,1,255,B_tree,hybrid_v_bi_B2,344,," 46 using link 204 at outport 4 lat 4
router 46
	 connected to router 40 using link 205 at outport 1 lat 6
	 connected to router 45 using link 206 at outport 2 lat 4
	 connected to router 46 using link 207 at outport 3 lat 1
	 connected to router 47 using link 208 at outport 4 lat 4
router 47
	 connected to router 41 using link 209 at outport 1 lat 6
	 connected to router 46 using link 210 at outport 2 lat 4
	 connected to router 47 using link 211 at outport 3 lat 1
========================== Routing table  =====================
=== Trace Allgather Simulation ===
trace_mode: tree
expected_makespan: 346
sim_makespan: 344
total_received: 6768 / 6768
buffer_full_stalls: 0
Draining remaining packets ...
Time taken is 1099 cycles
====== Overall Traffic Statistics ======
Total run time 0.061439
",6768,6768
0,528,4,True,1,255,B_tree,hybrid_v_bi_B2,525,," 46 using link 204 at outport 4 lat 4
router 46
	 connected to router 40 using link 205 at outport 1 lat 6
	 connected to router 45 using link 206 at outport 2 lat 4
	 connected to router 46 using link 207 at outport 3 lat 1
	 connected to router 47 using link 208 at outport 4 lat 4
router 47
	 connected to router 41 using link 209 at outport 1 lat 6
	 connected to router 46 using link 210 at outport 2 lat 4
	 connected to router 47 using link 211 at outport 3 lat 1
========================== Routing table  =====================
=== Trace Allgather Simulation ===
trace_mode: tree
expected_makespan: 528
sim_makespan: 525
total_received: 9024 / 9024
buffer_full_stalls: 0
Draining remaining packets ...
Time taken is 1572 cycles
====== Overall Traffic Statistics ======
Total run time 0.087935
",9024,9024
0,610,5,True,1,255,B_tree,hybrid_v_bi_B2,608,,"6 using link 204 at outport 4 lat 4
router 46
	 connected to router 40 using link 205 at outport 1 lat 6
	 connected to router 45 using link 206 at outport 2 lat 4
	 connected to router 46 using link 207 at outport 3 lat 1
	 connected to router 47 using link 208 at outport 4 lat 4
router 47
	 connected to router 41 using link 209 at outport 1 lat 6
	 connected to router 46 using link 210 at outport 2 lat 4
	 connected to router 47 using link 211 at outport 3 lat 1
========================== Routing table  =====================
=== Trace Allgather Simulation ===
trace_mode: tree
expected_makespan: 610
sim_makespan: 608
total_received: 11280 / 11280
buffer_full_stalls: 0
Draining remaining packets ...
Time taken is 1869 cycles
====== Overall Traffic Statistics ======
Total run time 0.108558
",11280,11280
0,126,1,True,2,255,B_tree,hybrid_v_bi_B2,124,,"r 46 using link 204 at outport 4 lat 4
router 46
	 connected to router 40 using link 205 at outport 1 lat 6
	 connected to router 45 using link 206 at outport 2 lat 4
	 connected to router 46 using link 207 at outport 3 lat 1
	 connected to router 47 using link 208 at outport 4 lat 4
router 47
	 connected to router 41 using link 209 at outport 1 lat 6
	 connected to router 46 using link 210 at outport 2 lat 4
	 connected to router 47 using link 211 at outport 3 lat 1
========================== Routing table  =====================
=== Trace Allgather Simulation ===
trace_mode: tree
expected_makespan: 126
sim_makespan: 124
total_received: 2256 / 2256
buffer_full_stalls: 0
Draining remaining packets ...
Time taken is 366 cycles
====== Overall Traffic Statistics ======
Total run time 0.020571
",2256,2256
0,193,2,True,2,255,B_tree,hybrid_v_bi_B2,191,,"r 46 using link 204 at outport 4 lat 4
router 46
	 connected to router 40 using link 205 at outport 1 lat 6
	 connected to router 45 using link 206 at outport 2 lat 4
	 connected to router 46 using link 207 at outport 3 lat 1
	 connected to router 47 using link 208 at outport 4 lat 4
router 47
	 connected to router 41 using link 209 at outport 1 lat 6
	 connected to router 46 using link 210 at outport 2 lat 4
	 connected to router 47 using link 211 at outport 3 lat 1
========================== Routing table  =====================
=== Trace Allgather Simulation ===
trace_mode: tree
expected_makespan: 193
sim_makespan: 191
total_received: 4512 / 4512
buffer_full_stalls: 0
Draining remaining packets ...
Time taken is 723 cycles
====== Overall Traffic Statistics ======
Total run time 0.040031
",4512,4512
0,355,3,True,2,255,B_tree,hybrid_v_bi_B2,353,," 46 using link 204 at outport 4 lat 4
router 46
	 connected to router 40 using link 205 at outport 1 lat 6
	 connected to router 45 using link 206 at outport 2 lat 4
	 connected to router 46 using link 207 at outport 3 lat 1
	 connected to router 47 using link 208 at outport 4 lat 4
router 47
	 connected to router 41 using link 209 at outport 1 lat 6
	 connected to router 46 using link 210 at outport 2 lat 4
	 connected to router 47 using link 211 at outport 3 lat 1
========================== Routing table  =====================
=== Trace Allgather Simulation ===
trace_mode: tree
expected_makespan: 355
sim_makespan: 353
total_received: 6768 / 6768
buffer_full_stalls: 0
Draining remaining packets ...
Time taken is 1180 cycles
====== Overall Traffic Statistics ======
Total run time 0.065254
",6768,6768
0,383,4,True,2,255,B_tree,hybrid_v_bi_B2,381,," 46 using link 204 at outport 4 lat 4
router 46
	 connected to router 40 using link 205 at outport 1 lat 6
	 connected to router 45 using link 206 at outport 2 lat 4
	 connected to router 46 using link 207 at outport 3 lat 1
	 connected to router 47 using link 208 at outport 4 lat 4
router 47
	 connected to router 41 using link 209 at outport 1 lat 6
	 connected to router 46 using link 210 at outport 2 lat 4
	 connected to router 47 using link 211 at outport 3 lat 1
========================== Routing table  =====================
=== Trace Allgather Simulation ===
trace_mode: tree
expected_makespan: 383
sim_makespan: 381
total_received: 9024 / 9024
buffer_full_stalls: 0
Draining remaining packets ...
Time taken is 1531 cycles
====== Overall Traffic Statistics ======
Total run time 0.086606
",9024,9024
0,559,5,True,2,255,B_tree,hybrid_v_bi_B2,557,,"6 using link 204 at outport 4 lat 4
router 46
	 connected to router 40 using link 205 at outport 1 lat 6
	 connected to router 45 using link 206 at outport 2 lat 4
	 connected to router 46 using link 207 at outport 3 lat 1
	 connected to router 47 using link 208 at outport 4 lat 4
router 47
	 connected to router 41 using link 209 at outport 1 lat 6
	 connected to router 46 using link 210 at outport 2 lat 4
	 connected to router 47 using link 211 at outport 3 lat 1
========================== Routing table  =====================
=== Trace Allgather Simulation ===
trace_mode: tree
expected_makespan: 559
sim_makespan: 557
total_received: 11280 / 11280
buffer_full_stalls: 0
Draining remaining packets ...
Time taken is 2105 cycles
====== Overall Traffic Statistics ======
Total run time 0.114476
",11280,11280
